241 1444
0 132 0.0898876
0 152 0.00346021
0 58 0.0176056
0 193 0.0263158
0 62 0.0679245
0 182 0.0315789
0 52 0.0174216
1 121 0.00325733
1 23 0.00334448
1 138 0.00333333
1 80 0.00327869
1 82 0.00660066
1 236 0.00706714
1 0 0.00350877
3 74 0.0251572
3 2 0.0661765
4 105 0.00701754
4 202 0.013289
4 123 0.00701754
4 131 0.027027
4 60 0.0140845
4 2 0.0141844
5 191 0.047619
5 76 0.0925267
6 157 0.019802
6 50 0.0198675
6 177 0.0150376
6 165 0.00980392
6 137 0.0164474
6 58 0.013289
6 85 0.0357143
6 88 0.0369128
6 56 0.0103806
6 175 0.0446097
6 5 0.0165563
7 13 0.00689655
7 44 0.0466926
7 114 0.0208333
7 215 0.078125
7 130 0.00684932
8 118 0.05
8 26 0.0171233
8 127 0.0581818
8 85 0.0459364
8 177 0.0534351
8 99 0.0498339
8 148 0.0464286
8 7 0.0101695
10 53 0.0176056
10 232 0.032491
10 3 0.0883392
10 122 0.0405405
10 175 0.029304
10 25 0.0486111
10 9 0.0359712
12 67 0.0576271
12 64 0.062069
12 206 0.0103806
12 77 0.0248227
12 17 0.0795848
12 171 0.0333333
12 155 0.0472973
12 177 0.0264151
12 148 0.0547445
12 11 0.0295082
13 208 0.0641509
14 49 0.0176056
14 230 0.0304183
14 71 0.0204918
14 128 0.00374532
14 55 0.00735294
14 58 0.0034965
14 87 0.0265152
14 133 0.0503876
14 150 0.035461
14 218 0.00346021
14 194 0.010453
14 201 0.019084
14 79 0.0436364
14 199 0.0388693
14 225 0.0143541
14 13 0.00348432
15 31 0.0318021
15 205 0.0703704
15 32 0.0234114
15 125 0.0503597
15 186 0.0467626
15 34 0.0319149
15 154 0.0804196
15 208 0.0597015
15 166 0.0427046
15 224 0.019802
15 44 0.00706714
16 215 0.0898876
16 121 0.0793103
16 236 0.010453
16 120 0.0584192
16 79 0.0736842
16 217 0.0479452
16 181 0.0650685
16 66 0.0442177
16 146 0.0804196
16 76 0.077193
16 201 0.032491
16 67 0.0687285
16 15 0.019802
17 222 0.0729927
17 56 0.0277778
17 227 0.0795848
17 171 0.04
18 33 0.030303
18 114 0.0334448
18 137 0.0472973
18 106 0.0431655
18 63 0.00986842
18 160 0.0394265
18 6 0.0165563
18 186 0.0283688
18 82 0.0689655
18 185 0.0251799
18 16 0.0921986
18 184 0.0431655
18 17 0.0578231
20 5 0.0138889
20 190 0.00371747
20 227 0.0654545
20 139 0.0413534
20 96 0.0321429
20 89 0.0538462
20 181 0.0278746
20 19 0.0357143
21 63 0.00353357
21 227 0.028777
22 145 0.024735
22 237 0.021978
22 50 0.0472973
22 3 0.0954064
22 141 0.0298013
22 31 0.020979
22 21 0.0553506
23 85 0.024911
23 230 0.0871212
23 222 0.024911
23 53 0.025
23 11 0.0163934
24 145 0.0284698
24 190 0.0250896
24 124 0.020979
24 72 0.0174825
24 198 0.00662252
24 55 0.0209059
24 44 0.0518519
24 139 0.0173611
24 130 0.019802
24 88 0.0472973
24 23 0.0815603
25 208 0.0490566
25 9 0.0479705
25 216 0.0482759
25 116 0.0410959
26 227 0.0173611
26 225 0.0141509
26 194 0.0138408
26 74 0.03
26 25 0.0323741
27 145 0.0141343
27 142 0.025
27 173 0.00689655
27 85 0.0212014
27 79 0.0704225
28 25 0.023569
28 169 0.0103448
28 86 0.0176056
28 131 0.047619
28 113 0.0103806
28 27 0.0233333
29 71 0.0263158
29 63 0.0162866
29 74 0.0248447
30 217 0.0100334
30 21 0.029304
30 212 0.0233333
