241 1444
0 1 0.00350877
2 3 0.066176499999999999
2 4 0.0141844
5 6 0.016556299999999999
7 8 0.0101695
9 10 0.035971200000000002
11 12 0.029508199999999998
13 14 0.00348432
15 16 0.019802
17 18 0.057823100000000002
19 20 0.035714299999999997
21 22 0.0553506
23 24 0.081560300000000002
25 26 0.032374100000000003
27 28 0.023333300000000001
29 30 0.029999999999999999
31 32 0.0212766
33 34 0.010526300000000001
35 36 0.036544899999999998
3 37 0.061371799999999997
38 39 0.030418299999999999
40 41 0.0063694299999999997
42 43 0.032258099999999998
44 45 0.0307692
46 47 0.0103806
38 48 0.017667800000000001
49 50 0.091872800000000004
51 52 0.0198675
53 54 0.088353399999999999
29 55 0.095588199999999998
56 57 0.00643087
58 59 0.018575899999999999
60 34 0.045976999999999997
51 61 0.019802
62 63 0.0135593
64 65 0.065972199999999995
9 66 0.0285714
67 68 0.0093457899999999997
69 70 0.018050500000000001
60 4 0.0140845
13 71 0.038910500000000001
72 73 0.00364964
74 75 0.066869300000000007
76 77 0.021352300000000001
61 78 0.013114799999999999
79 80 0.069204199999999993
81 82 0.050167200000000002
83 84 0.015772899999999999
69 75 0.019543999999999999
85 86 0.050387599999999998
87 46 0.023165999999999999
88 24 0.0472973
89 90 0.016556299999999999
69 85 0.034482800000000001
22 91 0.019736799999999999
92 93 0.021428599999999999
94 95 0.025974000000000001
10 96 0.037542699999999998
97 36 0.036912800000000003
11 23 0.016393399999999999
5 98 0.0318021
45 99 0.064981899999999995
100 79 0.013114799999999999
44 80 0.055147099999999998
5 101 0.073170700000000005
102 47 0.0128617
19 103 0.00647249
104 105 0.032142900000000002
86 106 0.0305344
107 108 0.071917800000000004
109 110 0.020979000000000001
111 75 0.016025600000000001
112 113 0.065454499999999999
114 115 0.016286599999999998
116 25 0.041095899999999998
10 117 0.0065146600000000002
118 110 0.0096774200000000008
69 79 0.040146000000000001
49 119 0.040293000000000002
120 121 0.106007
19 31 0.0140351
122 123 0.021052600000000001
112 124 0.050000000000000003
125 126 0.00692042
127 103 0.017482500000000002
